idOrden;image;name;status
OC001;https://rickandmortyapi.com/api/character/avatar/1.jpeg;Rick Sanchez;Alive
OC002;https://rickandmortyapi.com/api/character/avatar/2.jpeg;Morty Smith;Alive
OC003;https://rickandmortyapi.com/api/character/avatar/3.jpeg;Summer Smith;Alive
OC004;https://rickandmortyapi.com/api/character/avatar/4.jpeg;Beth Smith;Alive
OC005;https://rickandmortyapi.com/api/character/avatar/5.jpeg;Jerry Smith;Alive
OC006;https://rickandmortyapi.com/api/character/avatar/6.jpeg;Abadango Cluster Princess;Alive
OC007;https://rickandmortyapi.com/api/character/avatar/7.jpeg;Abradolf Lincler;unknown
OC008;https://rickandmortyapi.com/api/character/avatar/8.jpeg;Adjudicator Rick;Dead
OC009;https://rickandmortyapi.com/api/character/avatar/9.jpeg;Agency Director;Dead
OC010;https://rickandmortyapi.com/api/character/avatar/10.jpeg;Alan Rails;Dead
OC011;https://rickandmortyapi.com/api/character/avatar/11.jpeg;Albert Einstein;Dead
OC012;https://rickandmortyapi.com/api/character/avatar/12.jpeg;Alexander;Dead
OC013;https://rickandmortyapi.com/api/character/avatar/13.jpeg;Alien Googah;unknown
OC014;https://rickandmortyapi.com/api/character/avatar/14.jpeg;Alien Morty;unknown
OC015;https://rickandmortyapi.com/api/character/avatar/15.jpeg;Alien Rick;unknown
OC016;https://rickandmortyapi.com/api/character/avatar/16.jpeg;Amish Cyborg;Dead
OC017;https://rickandmortyapi.com/api/character/avatar/17.jpeg;Annie;Alive
OC018;https://rickandmortyapi.com/api/character/avatar/18.jpeg;Antenna Morty;Alive
OC019;https://rickandmortyapi.com/api/character/avatar/19.jpeg;Antenna Rick;unknown
OC020;https://rickandmortyapi.com/api/character/avatar/20.jpeg;Ants in my Eyes Johnson;unknown
